id	center_id	bids_id
la02	cleveland	''
la03	cleveland	''
la04	cleveland	''
la05	cleveland	''
la06	cleveland	''
la07	cleveland	''
la08	cleveland	''
la09	cleveland	''
la10	cleveland	''
la11	cleveland	''
la12	cleveland	''
la13	cleveland	''
la15	cleveland	''
la16	cleveland	''
la17	cleveland	''
la20	cleveland	''
la21	cleveland	''
la22	cleveland	''
la23	cleveland	''
la24	cleveland	''
la27	cleveland	''
la28	cleveland	''
la29	cleveland	''
la31	cleveland	''
nl01	cleveland	''
nl03	cleveland	''
nl04	cleveland	''
nl05	cleveland	''
nl07	cleveland	''
nl08	cleveland	''
nl09	cleveland	''
nl10	cleveland	''
nl12	cleveland	''
nl13	cleveland	''
nl16	cleveland	''
nl17	cleveland	''
nl18	cleveland	''
nl19	cleveland	''
nl20	cleveland	''
nl21	cleveland	''
nl22	cleveland	''
nl23	cleveland	''
tvb1	cleveland	''
tvb2	cleveland	''
tvb5	cleveland	''
tvb7	cleveland	''
tvb8	cleveland	''
tvb11	cleveland	''
tvb12	cleveland	''
tvb14	cleveland	''
tvb17	cleveland	''
tvb18	cleveland	''
tvb19	cleveland	''
tvb23	cleveland	''
tvb27	cleveland	''
tvb28	cleveland	''
tvb29	cleveland	''